OrderID,Product,Category,Quantity,Price,OrderDate,City,TotalAmount,MonthName,TotalAmount_Normalized,Rolling_Avg,Revenue_Rank,Cumulative_Revenue
1007,Smartwatch,Accessories,3,8000,2023-01-02,Mumbai,24000,January,0.08704061895551257,17333.333333333332,19.0,24000
1001,Keyboard,Accessories,1,1500,2023-01-07,Pune,1500,January,0.0,,38.5,25500
1011,Tablet,Electronics,3,30000,2023-01-12,Bangalore,90000,January,0.34235976789168276,131333.33333333334,6.5,115500
1022,Mobile,Electronics,3,22000,2023-01-15,Mumbai,66000,January,0.2495164410058027,29833.333333333332,10.5,181500
1029,Mobile,Electronics,4,22000,2023-01-24,Delhi,88000,January,0.3346228239845261,41500.0,8.5,334500
1004,Laptop,Electronics,1,65000,2023-01-24,Mumbai,65000,January,0.24564796905222436,36833.333333333336,12.0,246500
1010,Laptop,Electronics,4,65000,2023-01-25,Pune,260000,January,1.0,103333.33333333333,1.0,594500
1035,Tablet,Electronics,3,30000,2023-01-29,Pune,90000,January,0.34235976789168276,38500.0,6.5,684500
1026,Mobile,Electronics,3,22000,2023-02-05,Mumbai,66000,February,0.2495164410058027,94666.66666666667,10.5,794500
1002,Mobile,Electronics,2,22000,2023-02-05,Delhi,44000,February,0.1644100580270793,,15.5,728500
1039,Keyboard,Accessories,2,1500,2023-02-09,Pune,3000,February,0.005802707930367505,5166.666666666667,36.0,797500
1020,Smartwatch,Accessories,2,8000,2023-02-11,Bangalore,16000,February,0.05609284332688588,25833.333333333332,24.0,821000
1017,Headphones,Accessories,3,2500,2023-02-11,Pune,7500,February,0.02321083172147002,53166.666666666664,28.5,805000
1006,Keyboard,Accessories,4,1500,2023-02-26,Bangalore,6000,February,0.017408123791102514,31000.0,31.0,827000
1015,Laptop,Electronics,2,65000,2023-03-16,Delhi,130000,March,0.49709864603481624,71333.33333333333,4.0,957000
1009,Mobile,Electronics,2,22000,2023-03-28,Delhi,44000,March,0.1644100580270793,24666.666666666668,15.5,1001000
1008,Keyboard,Accessories,4,1500,2023-03-29,Pune,6000,March,0.017408123791102514,12000.0,31.0,1007000
1028,Smartwatch,Accessories,4,8000,2023-04-03,Mumbai,32000,April,0.11798839458413926,34166.666666666664,17.0,1039000
1012,Smartwatch,Accessories,1,8000,2023-04-07,Delhi,8000,April,0.025145067698259187,119333.33333333333,26.5,1047000
1016,Mobile,Electronics,1,22000,2023-04-08,Pune,22000,April,0.07930367504835589,70666.66666666667,22.0,1069000
1025,Mobile,Electronics,4,22000,2023-04-12,Bangalore,88000,April,0.3346228239845261,137666.66666666666,8.5,1157000
1023,Laptop,Electronics,3,65000,2023-04-13,Pune,195000,April,0.7485493230174082,89500.0,2.0,1352000
1036,Headphones,Accessories,2,2500,2023-04-27,Delhi,5000,April,0.013539651837524178,32166.666666666668,33.0,1357000
1037,Keyboard,Accessories,3,1500,2023-05-09,Mumbai,4500,May,0.01160541586073501,33166.666666666664,34.5,1361500
1033,Smartwatch,Accessories,3,8000,2023-05-22,Delhi,24000,May,0.08704061895551257,13333.333333333334,19.0,1385500
1005,Mobile,Electronics,1,22000,2023-05-24,Mumbai,22000,May,0.07930367504835589,29500.0,22.0,1407500
1024,Laptop,Electronics,2,65000,2023-05-26,Pune,130000,May,0.49709864603481624,130333.33333333333,4.0,1537500
1027,Keyboard,Accessories,3,1500,2023-05-30,Bangalore,4500,May,0.01160541586073501,52833.333333333336,34.5,1542000
1003,Keyboard,Accessories,1,1500,2023-06-01,Bangalore,1500,June,0.0,15666.666666666666,38.5,1543500
1032,Headphones,Accessories,4,2500,2023-06-02,Bangalore,10000,June,0.03288201160541586,48666.666666666664,25.0,1553500
1031,Keyboard,Accessories,4,1500,2023-06-02,Delhi,6000,June,0.017408123791102514,74666.66666666667,31.0,1559500
1040,Mobile,Electronics,1,22000,2023-06-03,Pune,22000,June,0.07930367504835589,11000.0,22.0,1581500
1019,Keyboard,Accessories,1,1500,2023-06-05,Mumbai,1500,June,0.0,23000.0,38.5,1583000
1030,Laptop,Electronics,2,65000,2023-06-10,Mumbai,130000,June,0.49709864603481624,83333.33333333333,4.0,1745000
1013,Smartwatch,Accessories,3,8000,2023-06-10,Chennai,24000,June,0.08704061895551257,40666.666666666664,19.0,1607000
1038,Smartwatch,Accessories,1,8000,2023-06-10,Pune,8000,June,0.025145067698259187,5833.333333333333,26.5,1615000
1021,Headphones,Accessories,3,2500,2023-06-13,Chennai,7500,June,0.02321083172147002,8333.333333333334,28.5,1752500
1018,Tablet,Electronics,2,30000,2023-06-21,Pune,60000,June,0.2263056092843327,29833.333333333332,13.5,1812500
1034,Keyboard,Accessories,1,1500,2023-06-24,Chennai,1500,June,0.0,11833.333333333334,38.5,1814000
1014,Tablet,Electronics,2,30000,2023-06-30,Delhi,60000,June,0.2263056092843327,30666.666666666668,13.5,1874000
